Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.ZVPODG,Z¬œŒƒ√,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZV1PRA1,Z¬1œ–¿1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY03,’4 ”03,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK21_1,”Ãœ 21_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY1E,’4 ”1E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY28,’1 ”28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY06,’1 ”06,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZASON,Z¿—ŒÕ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZZTREV,Z«“–≈¬,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Z3P,Z3œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.HVM4,H¬Ã4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZSTT1,Z—““1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X5KY0C,’5 ”0C,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XOCPM,XŒ÷œÃ,BOOL,,,1,0,""
S2,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_SFC.NNVIPMS,,BOOL,,,1,0,""
12,,,,,1,8,""
4,,,,,1,8,""
DEVICE1.FBU_SFC_LD._GLOBAL.X2KY07,’2 ”07,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD._GLOBAL.X2KY18,’2 ”18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OND3,__OND3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OPS24BS,__ŒPS24BS,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ORASO,__ŒRASO,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__STTEN,__STTEN,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__NONASO,__NONASO,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__VKRASO,__VKRASO,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_34,’061_34,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB1P1,’B1œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_12,’061_12,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_6,’061_6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X066_1,’066_1,BOOL,,,1,0,""
