Source variable,Destination variable,Source member,Destination member,Element location
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YPPP2_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):917:(1,2069),READING FROM,,DEVICE1.FBU_LD.PROG1.YPPP2_1,,(0:0),2366,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YPPP2_2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):919:(1,2073),READING FROM,,DEVICE1.FBU_LD.PROG1.YPPP2_2,,(0:0),2372,0,0,"
DEVICE1.FBU_LD.PROG1.H2263,DEVICE1.FBU_LD.PROG1.X2KY63,,,"<LD>,(DEVICE1,FBU_LD,PROG1):357:(1,854),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY63,,(0:0),954,0,0,"
DEVICE1.FBU_LD.PROG1.H227C,DEVICE1.FBU_LD.PROG1.X2KY7C,,,"<LD>,(DEVICE1,FBU_LD,PROG1):364:(1,872),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY7C,,(0:0),972,0,0,"
DEVICE1.FBU_LD.PROG1.H221F,DEVICE1.FBU_LD.PROG1.X2KY1F,,,"<LD>,(DEVICE1,FBU_LD,PROG1):371:(1,886),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY1F,,(0:0),986,0,0,"
DEVICE1.FBU_LD.PROG1.H2264,DEVICE1.FBU_LD.PROG1.X2KY64,,,"<LD>,(DEVICE1,FBU_LD,PROG1):381:(1,910),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY64,,(0:0),1012,0,0,"
DEVICE1.FBU_LD.PROG1.KYBY23,DEVICE1.FBU_LD.PROG1.X2KY68,,,"<LD>,(DEVICE1,FBU_LD,PROG1):383:(1,919),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY68,,(0:0),1023,0,0,"
DEVICE1.FBU_LD.PROG1.KYBY49,DEVICE1.FBU_LD.PROG1.X2KY34,,,"<LD>,(DEVICE1,FBU_LD,PROG1):406:(1,968),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY34,,(0:0),1078,0,0,"
DEVICE1.FBU_LD.PROG1.H224E,DEVICE1.FBU_LD.PROG1.X2KY4E,,,"<LD>,(DEVICE1,FBU_LD,PROG1):410:(1,976),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY4E,,(0:0),1086,0,0,"
DEVICE1.FBU_LD.PROG1.XRK7A,DEVICE1.FBU_LD.PROG1.X3KY12,,,"<LD>,(DEVICE1,FBU_LD,PROG1):416:(1,988),READING FROM,,DEVICE1.FBU_LD.PROG1.X3KY12,,(0:0),1098,0,0,"
DEVICE1.FBU_LD.PROG1.XRK59,DEVICE1.FBU_LD.PROG1.X3KY1A,,,"<LD>,(DEVICE1,FBU_LD,PROG1):420:(1,996),READING FROM,,DEVICE1.FBU_LD.PROG1.X3KY1A,,(0:0),1106,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY32,DEVICE1.FBU_LD.PROG1.YOBY1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1418:(1,3205),READING FROM,,DEVICE1.FBU_LD.PROG1.YOBY1,,(0:0),3727,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY33,DEVICE1.FBU_LD.PROG1.YVBYP12,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1421:(1,3211),READING FROM,,DEVICE1.FBU_LD.PROG1.YVBYP12,,(0:0),3734,0,0,"
DEVICE1.FBU_LD.PROG1.H3200,DEVICE1.FBU_LD.PROG1.X3KY00,,,"<LD>,(DEVICE1,FBU_LD,PROG1):453:(1,1062),READING FROM,,DEVICE1.FBU_LD.PROG1.X3KY00,,(0:0),1172,0,0,"
DEVICE1.FBU_LD.PROG1.XRK88,DEVICE1.FBU_LD.PROG1.X3KY3E,,,"<LD>,(DEVICE1,FBU_LD,PROG1):464:(1,1087),READING FROM,,DEVICE1.FBU_LD.PROG1.X3KY3E,,(0:0),1197,0,0,"
DEVICE1.FBU_LD.PROG1.H323F,DEVICE1.FBU_LD.PROG1.X3KY3F,,,"<LD>,(DEVICE1,FBU_LD,PROG1):465:(1,1089),READING FROM,,DEVICE1.FBU_LD.PROG1.X3KY3F,,(0:0),1199,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY4B,DEVICE1.FBU_LD.PROG1.YTOK1M,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1507:(1,3389),READING FROM,,DEVICE1.FBU_LD.PROG1.YTOK1M,,(0:0),3936,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY59,DEVICE1.FBU_LD.PROG1.YOZRRP,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1534:(1,3443),READING FROM,,DEVICE1.FBU_LD.PROG1.YOZRRP,,(0:0),3999,0,0,"
DEVICE1.FBU_LD.PROG1.X008_23,DEVICE1.FBU_LD.PROG1.XTM,,,"<LD>,(DEVICE1,FBU_LD,PROG1):506:(1,1191),READING FROM,,DEVICE1.FBU_LD.PROG1.XTM,,(0:0),1324,0,0,"
